アイスランド,Iceland,352,ISL,IS,北ヨーロッパ,ISO 3166-2:IS
アイルランド,Ireland,372,IRL,IE,西ヨーロッパ,ISO 3166-2:IE
アゼルバイジャン,Azerbaijan,031,AZE,AZ,東ヨーロッパ,ISO 3166-2:AZ
アフガニスタン,Afghanistan,004,AFG,AF,中東,ISO 3166-2:AF
アメリカ,United States,840,USA,US,北アメリカ,ISO 3166-2:US
アメリカ領ヴァージン諸島,Virgin Islands, U.S.,850,VIR,VI,中央アメリカ,ISO 3166-2:VI
アメリカ領サモア,American Samoa,016,ASM,AS,オセアニア,ISO 3166-2:AS
アラブ首長国連邦,United Arab Emirates,784,ARE,AE,中東,ISO 3166-2:AE
アルジェリア,Algeria,012,DZA,DZ,北アフリカ,ISO 3166-2:DZ
アルゼンチン,Argentina,032,ARG,AR,南アメリカ,ISO 3166-2:AR
アルバ,Aruba,533,ABW,AW,中央アメリカ,ISO 3166-2:AW
アルバニア,Albania,008,ALB,AL,東ヨーロッパ,ISO 3166-2:AL
アルメニア,Armenia,051,ARM,AM,東ヨーロッパ,ISO 3166-2:AM
アンギラ,Anguilla,660,AIA,AI,中央アメリカ,ISO 3166-2:AI
アンゴラ,Angola,024,AGO,AO,南アフリカ,ISO 3166-2:AO
アンティグア・バーブーダ,Antigua and Barbuda,028,ATG,AG,中央アメリカ,ISO 3166-2:AG
アンドラ,Andorra,020,AND,AD,西ヨーロッパ,ISO 3166-2:AD
イエメン,Yemen,887,YEM,YE,中東,ISO 3166-2:YE
イギリス,United Kingdom,826,GBR,GB,西ヨーロッパ,ISO 3166-2:GB
イギリス領インド洋地域,British Indian Ocean Territory,086,IOT,IO,インド洋地域,ISO 3166-2:IO
